Year,Pick,PPG
2000,1,15.5
2000,2,10.1
2000,3,12.6
2000,4,6.2
2000,5,13.4
2000,6,6.1
2000,7,9.8
2000,8,17.7
2000,9,6.4
2000,10,5.2
2000,11,1.7
2000,12,4.7
2000,13,0
2000,14,0.9
2000,15,5.7
2001,1,7.4
2001,2,5.1
2001,3,20.4
2001,4,13.6
2001,5,23.2
2001,6,10.1
2001,7,1.4
2001,8,2.3
2001,9,0
2001,10,16.7
2001,11,0
2001,12,9.8
2001,13,19.5
2001,14,14
2001,15,6.1
2002,1,25
2002,2,0
2002,3,12.8
2002,4,11.1
2002,5,0
2002,6,0
2002,7,14.6
2002,8,13.5
2002,9,20.4
2002,10,19.1
2002,11,4.1
2002,12,3
2002,13,0
2002,14,6.5
2002,15,9.2
2003,1,30
2003,2,7.2
2003,3,25.7
2003,4,22.3
2003,5,24.6
2003,6,15.7
2003,7,11.5
2003,8,14.9
2003,9,0
2003,10,6.7
2003,11,7.2
2003,12,8.2
2003,13,6.6
2003,14,6.4
2003,15,0
2004,1,20.6
2004,2,13.2
2004,3,20.7
2004,4,6.9
2004,5,21.3
2004,6,5
2004,7,14.1
2004,8,0
2004,9,18.8
2004,10,0
2004,11,11.9
2004,12,0
2004,13,9.8
2004,14,3.9
2004,15,23.1
2005,1,15.9
2005,2,10.1
2005,3,18.7
2005,4,18.7
2005,5,12.1
2005,6,9.8
2005,7,11.9
2005,8,11.2
2005,9,4.1
2005,10,15
2005,11,0
2005,12,0
2005,13,0
2005,14,0
2005,15,6.5
2006,1,21.4
2006,2,21.8
2006,3,0
2006,4,10.2
2006,5,4.5
2006,6,12.2
2006,7,9.8
2006,8,19.8
2006,9,0
2006,10,0
2006,11,10.1
2006,12,1.7
2006,13,5.1
2006,14,6.9
2006,15,0
2007,1,0
2007,2,28
2007,3,12.4
2007,4,12.7
2007,5,12.8
2007,6,2.6
2007,7,8.9
2007,8,8.5
2007,9,10.2
2007,10,9.6
2007,11,0
2007,12,12.8
2007,13,0
2007,14,0
2007,15,14.8
2008,1,15.9
2008,2,10.1
2008,3,15.3
2008,4,23.2
2008,5,26.1
2008,6,14.7
2008,7,17
2008,8,0
2008,9,4.7
2008,10,19.4
2008,11,8.7
2008,12,10.9
2008,13,7
2008,14,3.7
2008,15,11.3
2009,1,21.9
2009,2,1.2
2009,3,25.4
2009,4,14.5
2009,5,10.1
2009,6,0
2009,7,24
2009,8,9.7
2009,9,22.7
2009,10,15.5
2009,11,0
2009,12,14
2009,13,4.9
2009,14,4.8
2009,15,3
2010,1,17.6
2010,2,9.5
2010,3,16
2010,4,9.9
2010,5,24.1
2010,6,0.9
2010,7,15.9
2010,8,5.6
2010,9,19.3
2010,10,23.1
2010,11,5.5
2010,12,2.2
2010,13,8.3
2010,14,8
2010,15,7.3
2011,1,19.6
2011,2,9.3
2011,3,12.7
2011,4,7.8
2011,5,12
2011,6,0
2011,7,5.5
2011,8,19.6
2011,9,20.9
2011,10,1.5
2011,11,22.1
2011,12,13.3
2011,13,12
2011,14,14.1
2011,15,21.2
2012,1,28
2012,2,9.2
2012,3,23.1
2012,4,15.8
2012,5,5
2012,6,27
2012,7,19.2
2012,8,11
2012,9,13.6
2012,10,12
2012,11,5.4
2012,12,9.7
2012,13,0
2012,14,6.8
2012,15,10
2013,1,0
2013,2,23.1
2013,3,14.7
2013,4,7.1
2013,5,8.5
2013,6,4.9
2013,7,7.5
2013,8,13.4
2013,9,12.8
2013,10,21.4
2013,11,4.8
2013,12,13.9
2013,13,11.5
2013,14,5
2013,15,26.9
2014,1,18.1
2014,2,14.5
2014,3,28.5
2014,4,16
2014,5,4.5
2014,6,8.9
2014,7,21.4
2014,8,5.9
2014,9,8.4
2014,10,10.6
2014,11,7.3
2014,12,8.7
2014,13,23.7
2014,14,18
2014,15,0
2015,1,26.5
2015,2,23.1
2015,3,8.1
2015,4,20.1
2015,5,4.8
2015,6,7.2
2015,7,7.3
2015,8,2.4
2015,9,9.7
2015,10,11.3
2015,11,12.1
2015,12,6.4
2015,13,26.6
2015,14,10.9
2015,15,18.7
2016,1,6.9
2016,2,23.8
2016,3,24.7
2016,4,0
2016,5,7.6
2016,6,16.6
2016,7,21.2
2016,8,6.5
2016,9,8.6
2016,10,3.8
2016,11,20.3
2016,12,9.5
2016,13,0
2016,14,2.9
2016,15,7.2
2017,1,10.8
2017,2,13
2017,3,26.9
2017,4,6.4
2017,5,23.2
2017,6,6.5
2017,7,14.8
2017,8,4.1
2017,9,5.6
2017,10,11.6
2017,11,13.8
2017,12,11.9
2017,13,25.9
2017,14,19.1
2017,15,2.1